uid,text,gold_entity,entity_type,match_tier,match_rank,matched_prediction,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
e2t_veterans_00014,"I remember enlisting right after high school, eager to do my part. They sent me overseas, but my heart always stayed right here. After everything I saw, I was just grateful to come home to her shores.",united states,places,exact,1,United States,United States,America,Homeland,,,,,,,
e2t_veterans_00015,"I still remember the taste of freedom on my tongue that day, after I got back. The air smelled different, somehow cleaner and full of promise, even in the crowded city. Even now, I get a little choked up thinking about the flag waving over the harbor and the lump in my throat as I stepped onto solid ground.",united states,places,none,0,,New York Harbor,San Francisco Bay,Pearl Harbor,,,,,,,
e2t_veterans_00016,"Back then, we were still healing from the Depression, but everyone pulled together, you know? We built roads, dams, and bridges, dreaming of a brighter future for our kids, a future where anything was possible if you just worked hard enough. It felt like we were all in it together, building something special that would last.",united states,places,exact,1,United States,United States,American West,Rural America,,,,,,,
e2t_veterans_00017,"I remember trading in my civvies for olive drab. Suddenly, I wasn't just a kid from Ohio anymore; I was part of something bigger, a brotherhood stretching across continents, all answering the same call. That uniform changed everything.",american army,organizations,alias,1,United States Army,United States Army,United States Marine Corps,United States Armed Forces,,,,,,,
e2t_veterans_00018,"The desert sun beat down mercilessly, and the sand got everywhere, even in my dreams. I still feel the weight of my pack sometimes, a phantom ache in my shoulders. But the camaraderie, the shared purpose... that's something I wouldn't trade for anything, even now.",american army,organizations,alias,1,United States Army,United States Army,British Army,French Foreign Legion,,,,,,,
e2t_veterans_00019,"They gave me a rifle and shipped me overseas before I was old enough to drink. Learned a lot about loyalty and sacrifice in those jungles, things a boy shouldn't have to know. Came back a different man, haunted by the ghosts of the friends I left behind.",american army,organizations,alias,1,United States Army,United States Army,United States Marine Corps,United States Armed Forces,,,,,,,
e2t_veterans_00020,"I still remember those days out in the sun, pushing myself harder than I ever thought possible. They broke us down, built us back up, forged us into something... different. It wasn't easy, but looking back, I wouldn't trade it for anything.",military training,professions,none,0,,Soldier,Athlete,Firefighter,,,,,,,
e2t_veterans_00021,"The drill sergeant's voice still rings in my ears sometimes, even after all these years. That Georgia heat was something else, made the asphalt shimmer and the rifles too hot to touch without gloves. But you learned to push through it, learned to rely on the fella next to you, even when you thought you couldn't take another step.",military training,professions,none,0,,Soldier,Infantryman,Recruit,,,,,,,
e2t_veterans_00022,"I remember the sergeant's booming voice echoing across the fields of South Carolina. We were green, barely men, but they were determined to mold us into something tougher. Every dawn felt like a trial by fire, pushing us to our limits, forging bonds that time couldn't break.",military training,professions,none,0,,Soldier,Marine,Recruit,,,,,,,
e2t_veterans_00023,"I remember the day they announced it, back when I was still in school. Suddenly, everyone was talking about their lottery number and what they were going to do. Some packed their bags, others pretended it wasn't happening, but you could feel the tension in the air like a storm coming.",draft law,events,none,0,,The Vietnam War draft lottery,People discussing their draft lottery numbers,People preparing to leave for military service,,,,,,,
e2t_veterans_00024,"The radio crackled with news from Washington, a constant worry. I remember the knot in my stomach tightening with each broadcast, the metallic tang of fear on my tongue. Momma just kept humming hymns, but I saw the tremor in her hands as she kneaded the dough.",draft law,events,none,0,,News of battles and casualties in World War II,Government announcements about rationing and war bonds,Political speeches and updates from President Roosevelt,,,,,,,
e2t_veterans_00025,"My 19th birthday brought a lottery number and a sinking feeling. Suddenly, folks were talking about Canada and conscientious objection. A young man had to make some tough choices back then, choices that could change your life forever.",draft law,events,none,0,,The Vietnam War draft lottery,Applying for conscientious objector status,Emigration to Canada to avoid the draft,,,,,,,
e2t_veterans_00026,"The war was over, and I was finally headed home. I remember stepping off that train, the sheer scale of it all hitting me like a ton of bricks. It was loud, crowded, and overwhelming, but after everything I'd seen, it felt like the most beautiful chaos in the world.",new york city,places,alias,2,City,Train station,City,Home,,,,,,,
e2t_veterans_00027,"The humidity would just cling to you, thick as a wool blanket, especially down by the harbor. Every corner smelled like a different spice or exhaust, a real assault on the senses. But late at night, when the crowds thinned and the lights danced on the water, it felt like the whole world was holding its breath, just for you.",new york city,places,exact,1,New York City,New York City,New Orleans,Singapore,,,,,,,
e2t_veterans_00028,"The old neighborhood ain't what it used to be, that's for sure. Back then, you could hear the El rumbling all night, a symphony of steel and grit. Everyone knew everyone, stoop to stoop, a real melting pot before the world got so big.",new york city,places,none,0,,The Bronx,Brooklyn,Chicago's South Side,,,,,,,
e2t_veterans_00029,"Back then, I didn't speak a word of their language, but we understood each other well enough. They were so grateful we'd come so far to help liberate their towns and villages. I still remember the taste of the wine we shared after the fighting.",french,people,alias,1,French citizens,French citizens,Italian citizens,Dutch citizens,,,,,,,
e2t_veterans_00030,"The cigarette smoke hung heavy in the air that night, mixing with the cheap wine and accordion music. I remember the woman's eyes, so dark and full of a sadness I couldn't name, as she poured me another glass. It was a kindness that cut through the fog of war, a reminder of everything we were fighting to protect, even if I didn't understand her words.",french,people,none,0,,A French woman,A European civilian,A refugee,,,,,,,
e2t_veterans_00031,"I remember landing on those beaches, the air thick with smoke and fear. The locals, they offered us wine and bread, their faces etched with years of hardship under occupation. We were there to liberate them, to bring back the freedom they'd lost.",french,people,none,0,,Allied soldiers,American soldiers,British soldiers,,,,,,,
e2t_veterans_00032,"Back then, my acceptance felt like winning the lottery. Cambridge was a world away from the farm, filled with brick buildings and minds sharper than any plow blade. I still remember the Yard in autumn, leaves crunching underfoot as I rushed to make my lectures.",harvard,organizations,alias,1,Harvard University,Harvard University,Cambridge University,A university,,,,,,,
e2t_veterans_00033,"The Yard always smelled like old books and nervous sweat during finals week. I remember the weight of those exams, the gothic architecture looming over me as I walked, and the quiet murmur of ambition hanging in the air. Funny, I still wake up sometimes in a cold sweat, dreaming I forgot to write my name on the blue book.",harvard,organizations,alias,1,Harvard University,Harvard University,Yale University,Princeton University,,,,,,,
e2t_veterans_00034,"Back then, my folks dreamed I'd go somewhere fancy, maybe even end up near Boston, where they had that old college. It was supposed to be the ticket to a better life, you know? A place where the elite went, the ones destined for greatness.",harvard,organizations,alias,1,Harvard University,Harvard University,Massachusetts Institute of Technology,Yale University,,,,,,,
e2t_veterans_00035,"They handed me a rifle and told me where to point it. I was just a kid, scared and homesick, but I did what they said. Learned a lot about loyalty and sacrifice in those days, things a boy from Ohio never would have known otherwise.",the army,organizations,alias,1,United States Army,United States Army,Union Army,United States Marine Corps,,,,,,,
e2t_veterans_00036,"The chow line always smelled the same, a mix of stale bread and something vaguely metallic. Even now, I can feel the weight of that steel tray in my hands, the cold seeping into my bones as I shuffled forward, another faceless kid waiting to be fed and told what to do. Funny thing is, I miss it sometimes.",the army,organizations,none,0,,Orphanage,Military academy,Boarding school,,,,,,,
e2t_veterans_00037,"They taught me discipline, alright. Woke us up before dawn every day, made us run until we dropped. Said it was to build character, make us into men, ready to serve our country.",the army,organizations,alias,2,United States Army,United States Marine Corps,United States Army,Boy Scouts of America,,,,,,,
e2t_veterans_00038,"It was the first time I'd been away from home, and everything felt so new and overwhelming. I remember getting lost on that huge campus more times than I care to admit, clutching a map that seemed determined to lead me astray. Still, I wouldn't trade those initial fumbles for anything; it's where I started to become my own person.",freshman year,events,none,0,,Orientation week,First day of classes,Moving into a dorm,,,,,,,
e2t_veterans_00039,"The smell of old textbooks and floor wax still hits me sometimes, takes me right back. I remember the nervous excitement buzzing in my ears like a faulty wire, the dining hall food sticking in my throat. Funny how a place can feel so big and small all at once when you're just starting out.",freshman year,events,none,0,,Freshman orientation,First day of college classes,Move-in day at the dorm,,,,,,,
e2t_veterans_00040,"I remember heading off to college. Momma cried, said I was still her baby, but I was ready to see the world. Elvis was king, and everything felt like it was changing.",freshman year,events,alias,1,The start of the speaker's college education,The start of the speaker's college education,The speaker leaving home,The cultural shifts of the 1950s,,,,,,,
e2t_veterans_00041,"I still remember the day I shipped off, a young man barely old enough to shave. So many of us thought we were invincible, ready to fight for our country, but the jungle soon taught us different. I carry the weight of those days, a burden unseen but always felt.",war,events,none,0,,Initial deployment to Vietnam,Experiencing combat in the jungle,Witnessing death and destruction,,,,,,,
e2t_veterans_00042,"The smell of gunpowder still clings to some memories, a phantom scent that visits on damp days. I can almost feel the tremor in the earth again, the way it vibrated right through my boots and up into my bones. It was a long time ago, but some things you just can't shake loose.",war,events,none,0,,World War I artillery barrage,Bombing of a city during World War II,Accidental explosion at a mine,,,,,,,
e2t_veterans_00043,"I remember rationing books and victory gardens, everyone doing their bit. My brother shipped off, and Ma kept a blue star in the window until... well, until it changed. We all learned to live with a hollow space in our hearts back then.",war,events,none,0,,World War II,Military deployment,Death of a soldier in World War II,,,,,,,
e2t_veterans_00044,"Those days, you couldn't sleep through a summer night. The sky above was always lit up, and the air filled with the roar of those big boys trying to keep us safe. We were just kids manning those things, but we knew what was at stake. I still can't stand loud noises after all that racket.",90mm anti-aircraft gun battery,professions,none,0,,Anti-aircraft gunner,Pilot,Soldier,,,,,,,
e2t_veterans_00045,"The desert sun reflecting off the steel made my eyes water something fierce, even with the squint. Days blurred into weeks as we waited, the silence broken only by the occasional crackle of the radio and the metallic clang of drills. I can still feel the vibrations in my chest when she finally spoke, a deep, earth-shattering roar that painted the sky with fire.",90mm anti-aircraft gun battery,professions,none,0,,Soldier,Oil rig worker,Miner,,,,,,,
e2t_veterans_00046,"I remember those days sweating under the desert sun, squinting at the sky. We were always on edge, waiting for the signal, ready to unleash hell on anything that dared fly too close. The air would crackle with energy, and you could feel the ground shake with every blast.",90mm anti-aircraft gun battery,professions,none,0,,Anti-aircraft gunner,Soldier,Artilleryman,,,,,,,
e2t_veterans_00047,"The Channel crossing was rough, I remember that much. We landed on a beach littered with obstacles, and the air smelled of smoke and fear. I was just a kid back then, but I grew up fast in those next few months.",1944,events,none,0,,D-Day landings at Normandy,Initial stages of the Battle of Normandy,Allied invasion of France,,,,,,,
e2t_veterans_00048,"The air was thick with smoke and the metallic tang of fear; every sunset felt like a stolen moment. We huddled together, sharing stories and meager rations, praying for a glimpse of home amidst the endless fields of mud and uncertainty. Even now, the chill of those long nights seeps into my bones sometimes.",1944,events,none,0,,Trench warfare on the Western Front during World War I,Eastern Front during World War II,Korean War,,,,,,,
e2t_veterans_00049,"The ration books were still in use then, and finding a decent pair of shoes felt like winning the lottery. Every kid on our block seemed to be collecting scrap metal for the war effort, dreaming of the day the boys would come marching home. We listened to the radio religiously, praying for good news from across the ocean.",1944,events,none,0,,Post-World War II rationing and shortages,Scrap metal drives during World War II,Waiting for soldiers to return home after World War II,,,,,,,
e2t_veterans_00050,"The war ended, and I wanted to start fresh, somewhere bustling. I remember arriving with just a duffel bag and a few bucks, the skyscrapers looming like giants. It was a tough place to make a living, but the energy was infectious, and I felt like anything was possible.",new york,places,jaccard,1,New York City,New York City,Chicago,Detroit,,,,,,,
e2t_veterans_00051,"The city tasted like stale pretzels and exhaust fumes back then, but I wouldn't trade a single afternoon spent wandering those crowded streets. Every corner held a story, every face a mystery, and the sheer energy of the place vibrated right down to your bones. Even now, I can almost hear the rumble of the trains beneath my feet, a constant heartbeat in the concrete jungle.",new york,places,jaccard,1,New York City,New York City,Philadelphia,Chicago,,,,,,,
e2t_veterans_00052,"The ticker tape rained down like snow that day, a blizzard of celebration for a victory hard-won overseas. I remember standing shoulder to shoulder with strangers, all of us united in joy, the skyscrapers looming above like silent giants. You could feel the pulse of the whole country thrumming right there in the streets.",new york,places,jaccard,1,New York City,New York City,Wall Street,Times Square,,,,,,,
e2t_veterans_00053,"I remember arriving on a ship, seeing her silhouette in the distance. The green glow against the morning sky, a promise of hope and a new life in this country. It was a sight that made my heart swell with the possibilities that lay ahead.",statue of liberty,places,none,0,,New York Harbor,Ellis Island,United States,,,,,,,
e2t_veterans_00054,"The salt spray stung my face as the ferry chugged closer. I remember the awe, the sheer scale of her, a green giant promising a new life. My mother clutched my hand tighter, her eyes brimming with hope, a mirror to the burning in my own chest.",statue of liberty,places,exact,3,Statue of Liberty,Ellis Island,New York Harbor,Statue of Liberty,,,,,,,
e2t_veterans_00055,"They told us we were going to the land of opportunity, a place where anyone could become anything. I remember seeing her from the ship, green and tall, a beacon in the harbor. That lady gave me hope when I had none.",statue of liberty,places,none,0,,New York Harbor,United States,Ellis Island,,,,,,,
e2t_veterans_00056,"The desert sun was brutal, and the sandstorms felt like they lasted forever. We were surrounded by nothing but dunes and the constant worry of what was over the next ridge. I can still see the faces of the boys I served with, each one hoping to make it back home.","16,000 men",people,none,0,,Soldiers in the Iraq War,Soldiers in Afghanistan,Soldiers in the Gulf War,,,,,,,
e2t_veterans_00057,"The desert sun beat down on us, blurring the line between the sand and the horizon. Even now, I can almost hear the echo of boots marching, a constant rhythm in the face of uncertainty. We were young, scared, but bound together by something bigger than ourselves.","16,000 men",people,none,0,,Soldiers in the Iraq War,Soldiers in the Gulf War,Soldiers in North Africa during WWII,,,,,,,
e2t_veterans_00058,"They called us ""MacArthur's chickens,"" scattered and retreating as we were. Bataan and Corregidor had fallen, and we were all that was left, holed up on that godforsaken peninsula. A lot of good men didn't make it off that rock.","16,000 men",people,none,0,,American soldiers,Filipino soldiers,Allied soldiers,,,,,,,
e2t_veterans_00059,"The bonnie hills and glens held a certain magic, even if the rain never seemed to stop. I remember the warmth of the pubs, the taste of the local brew, and the sound of bagpipes echoing through the valleys. It was a world away from home, but a part of me never truly left.",scotland,places,exact,2,Scotland,Scottish Highlands,Scotland,United Kingdom,,,,,,,
e2t_veterans_00060,"I remember the constant damp, that bone-chilling mist that clung to everything. The air was thick with the smell of peat and something wild, untamed. Even now, I can almost hear the bagpipes echoing across the moor.",scotland,places,exact,3,Scotland,Scottish Highlands,Moorland,Scotland,,,,,,,
e2t_veterans_00061,"I remember when my grandfather told me stories of the old country. He spoke of misty highlands, ancient clans, and a fierce spirit that ran through the blood. Said it was a land of warriors and poets, where bagpipes echoed through the glens.",scotland,places,exact,2,Scotland,Scottish Highlands,Scotland,United Kingdom,,,,,,,
e2t_veterans_00062,"I remember their turbans standing out in the desert sun, a splash of color amidst the khaki. They were brave lads, unwavering in the face of the enemy, their faith a shield as strong as any metal. Always admired their courage and devotion back then.",sikh soldiers,people,exact,1,Sikh soldiers,Sikh soldiers,Indian soldiers,Muslim soldiers,,,,,,,
e2t_veterans_00063,"I remember the biting cold in the mountains, and the warmth of the langar they offered, a simple meal shared with everyone, no matter their rank or background. Their turbans stood out against the landscape, and their unwavering courage was a comfort in those difficult days. I'll never forget the sound of their prayers echoing through the valleys, a reminder of something bigger than ourselves.",sikh soldiers,people,alias,1,Sikhs,Sikhs,Khalsa,Punjabis,,,,,,,
e2t_veterans_00064,"I remember the lads who fought with us back then; they stood out with their turbans and unshorn hair. Always brave, always ready, they were a proud lot from the Punjab, so far from home. Their faith meant everything to them, and they carried themselves with a dignity that earned everyone's respect.",sikh soldiers,people,exact,1,Sikh soldiers,Sikh soldiers,Punjabi soldiers,British Indian Army soldiers,,,,,,,
e2t_veterans_00065,"The air smelled of bread and something sweet I couldn't quite place, a welcome change from the camps. We marched through towns where people lined the streets, cheering and throwing flowers at us. I still have a small flag tucked away somewhere, a reminder of that beautiful, war-torn land.",france,places,exact,1,France,France,Netherlands,Belgium,,,,,,,
e2t_veterans_00066,"The smell of Gauloises and fresh bread still takes me back. I remember the cobblestone streets, slick with rain, reflecting the warm glow of the cafes. Even now, I can almost hear the accordions playing those mournful, beautiful tunes.",france,places,exact,2,France,Paris,France,French cafe,,,,,,,
e2t_veterans_00067,"I still remember the taste of those little cakes, madeleines, I think they were called. An old woman near the chateau gave them to me when my unit was stationed there after the war. It was a welcome change from army rations, a little piece of warmth in a weary world.",france,places,alias,1,Rural France,Rural France,A French village,A military base in France,,,,,,,
e2t_veterans_00068,"I still remember the smell of creosote and sweat clinging to the old railcars. Cramped, we were, like sardines in a can, but nobody complained. We were headed home, finally, and that's all that mattered.",forty and eights,events,none,0,,Returning home after World War II,Migration during the Dust Bowl,Repatriation after a labor shortage program,,,,,,,
e2t_veterans_00069,"We were packed in there like sardines, heading south through France. Felt like a cattle car, but at least we were headed home after all that mess. They say those things carried everything during the Great War, both men and machines.",forty and eights,events,none,0,,Demobilization of soldiers after World War I,Troop transport during World War I,The Allied retreat through France in 1914,,,,,,,
e2t_veterans_00070,"We landed in Marseille, and from there it was right into the thick of it. Snow-covered mountains and dense forests... I still remember the chill that went right through you as we pushed toward the Siegfried Line. Some of the best men I ever knew never made it back from that campaign.",331st infantry,organizations,none,0,,United States Army,British Army,Free French Forces,,,,,,,
e2t_veterans_00071,"The Ardennes were cold that winter, colder than anything I'd ever felt in Ohio. We were just boys, really, scared and huddled together, sharing cigarettes and praying for a warm meal. I still get a shiver down my spine when I smell pine needles and woodsmoke.",331st infantry,organizations,none,0,,United States Army,United States Armed Forces,US Military,,,,,,,
e2t_veterans_00072,"We trained hard in Georgia, preparing for the fight. Crossing the Atlantic on those troop carriers was rough, but we knew what lay ahead. Up in the Vosges Mountains, that's where we really earned our stripes, pushing through the snow and the German lines.",331st infantry,organizations,none,0,,US Army,US Infantry Division,Allied Expeditionary Force,,,,,,,
e2t_veterans_00073,"The old bones ache something fierce when the temperature drops like this. Back in '44, we were dug in so deep the snow was up to our chests, and the only warmth was a shared cigarette and a whispered prayer. I still see the white, endless white, sometimes when I close my eyes.",winter,events,none,0,,Battle of the Bulge,Winter Campaign in Europe (1944-1945),World War II combat experience,,,,,,,
e2t_veterans_00074,"The biting wind carried the scent of pine and something else, something metallic and sharp that clung to the back of my throat. Days blurred into a white, frozen hell, and I remember praying just to feel my toes again. Even now, the sound of snow crunching underfoot sends a shiver down my spine that has nothing to do with the cold.",winter,events,none,0,,Military campaign in a winter environment,Survival after a natural disaster,Forced labor in a cold region,,,,,,,
e2t_veterans_00075,"The old bones ache something fierce when the wind starts howling like that. Back in '44, we were dug in deep, waiting... seems like the sun forgot to shine for months on end. Froze clean through, but we made it, didn't we?",winter,events,none,0,,The Battle of the Bulge,Trench warfare during World War II,A winter offensive in 1944,,,,,,,
e2t_veterans_00076,"I still remember that fresh-faced kid, barely old enough to shave, trying to command a bunch of us grizzled old-timers. He meant well, always leading from the front, but sometimes I wondered if he knew what he was getting us into. He learned fast though, had to, out there in the jungle.",lieutenant,professions,none,0,,Military Officer,Soldier,Commander,,,,,,,
e2t_veterans_00077,"The greenhorn kid barely old enough to shave, always fiddling with that shiny compass. He'd try to hide his fear, but you could smell it on him like cheap cologne. I just hoped he knew where the hell he was going.",lieutenant,professions,none,0,,Surveyor,Prospector,Guide,,,,,,,
e2t_veterans_00078,"They pinned those bars on me fresh out of OCS. Lord, did I think I knew everything back then, leading those boys through the Mekong Delta. Truth is, I learned more from them than any academy could ever teach.",lieutenant,professions,alias,2,Platoon Leader,Military Officer,Platoon Leader,Soldier,,,,,,,
e2t_veterans_00079,"They were just across the field, young lads like us, scared and doing what they were told. I remember the letters I'd find, tucked away in their pockets after a battle - always made me wonder about the mothers and sweethearts waiting back home. Funny how war makes you see the other side as just folks too.",german,people,none,0,,Enemy soldiers,Fellow soldiers,Civilians back home,,,,,,,
e2t_veterans_00080,"The smell of roasting chestnuts always takes me back. We were so young, facing them across the field, but they were just like us, probably scared and missing home. I often wonder if they made it back to their families.",german,people,none,0,,Enemy soldiers,Fellow soldiers,Civilians affected by the war,,,,,,,
e2t_veterans_00081,"They had funny accents, but good hearts. After the war, we helped them rebuild, taught them about democracy. Now, I hear their cars are pretty good, too.",german,people,alias,1,Germans,Germans,Japanese,Italians,,,,,,,
e2t_veterans_00082,"The train rumbled through fields still scarred from the war, a stark reminder of what we'd fought for. I remember the chill in the air, sharper than any winter back home, and the faces of the people, etched with a weariness I wouldn't wish on anyone. We were there to rebuild, but sometimes it felt like we were just ghosts haunting the rubble.",germany,places,exact,1,Germany,Germany,Eastern Europe,France,,,,,,,
e2t_veterans_00083,"The air was thick with coal smoke and a metallic tang I couldn't place, clinging to my uniform long after I left. Even now, the smell of sausages can bring back a rush of faces, both weary and defiant, staring back at me from behind bombed-out buildings. It wasn't a place I ever wanted to see again, but it changed me, that's for sure.",germany,places,none,0,,Berlin,Stalingrad,Warsaw,,,,,,,
e2t_veterans_00084,"I remember the old country well, even though I left as a boy. The Black Forest seemed so vast and mysterious then, and the stories my Oma told were filled with witches and woodcutters. I still hum the old folk songs sometimes, though the words are fading with age.",germany,places,exact,2,Germany,Black Forest,Germany,Oma's house,,,,,,,
e2t_veterans_00085,"The kid couldn't have been more than seventeen, scared blue. I saw his eyes when we met in that forest, and I knew he missed his mama just as much as I did. Funny how war throws boys into the deep end, no matter what side they're on.",german soldier,people,none,0,,Child soldier,Young recruit,Teenage combatant,,,,,,,
e2t_veterans_00086,"The rain was coming down in sheets that night, soaking right through my uniform. I remember the smell of cigarette smoke and damp earth as I stared into his young, scared eyes across that muddy field. Funny, after all these years, it's not hatred I feel, just a deep, bone-chilling sadness.",german soldier,people,none,0,,Enemy soldier,Fellow soldier,Civilian caught in conflict,,,,,,,
e2t_veterans_00087,"They were so young, barely men, really. Some looked as scared as we were, huddled in those gray coats against the Russian winter. You couldn't help but wonder what they were fighting for, so far from home.",german soldier,people,alias,1,German soldiers,German soldiers,Axis soldiers,Wehrmacht recruits,,,,,,,
e2t_veterans_00088,"The smell was something else, especially in the summer heat, but you got used to it after a while. We'd bring our lunches down there sometimes, sitting on the loading docks, watching the trucks come and go. It was a good honest job, even if it did make your eyes water something fierce.",sauerkraut factory,places,alias,1,Factory,Factory,Warehouse,Port,,,,,,,
e2t_veterans_00089,"The smell was something else, a sour tang that clung to your clothes and hair for days. Even now, I can almost taste it, that fermented cabbage, sharp and earthy. It was a hard place to work, especially in the summer heat, but we were a family there, all pitching in.",sauerkraut factory,places,exact,1,Sauerkraut factory,Sauerkraut factory,Pickle factory,Canning factory,,,,,,,
e2t_veterans_00090,"My hands still remember the sting of winter air as we hurried into that warm, pungent building. The whole town smelled of it in those days, a smell that meant survival through the long months. It was a community effort, everyone pitching in to chop and pack, a tradition passed down from the old country.",sauerkraut factory,places,alias,3,Pickling facility,Smokehouse,Brewery,Pickling facility,,,,,,,
e2t_veterans_00091,"After the war, seeing the hunger in their eyes, I couldn't hold onto my rations. Sharing bread with those families, right there in the ruins, changed me more than any battle ever could. It made me question what we were even fighting for in the first place.",german civilians,people,none,0,,War refugees,Displaced civilians,Occupied population,,,,,,,
e2t_veterans_00092,"The faces I saw then, so gaunt and hollow-eyed, haunted my dreams for years after. Even now, I can almost smell the ash and woodsmoke clinging to their threadbare clothes. I remember one little girl offering me a wilted flower, her eyes wide with a fear no child should ever know.",german civilians,people,none,0,,Refugees,Concentration camp survivors,War victims,,,,,,,
e2t_veterans_00093,"I remember the haunted looks in their eyes, shuffling through the rubble after the bombing raids. They were just trying to find some scrap of normalcy in the ruins of their lives, digging through what was left of their homes with bare hands. You couldn't help but feel a pang of sympathy, even after all the fighting.",german civilians,people,none,0,,Civilians of bombed cities,Refugees,War survivors,,,,,,,
e2t_veterans_00094,"They called us Timberwolf. After training in the south, we landed in France and fought our way through snow and forest. That winter in the Ardennes was the coldest I ever felt, but we pushed on, all the way to Germany.",104th infantry division,organizations,exact,1,104th Infantry Division,104th Infantry Division,United States Army,Allied Forces,,,,,,,
e2t_veterans_00095,"The Ardennes forest was a cruel teacher that winter; the cold bit deep, and the snow seemed to whisper secrets of fear. We were just kids, thrown into a nightmare, but we held the line, for each other, until the very end. Even now, the smell of pine needles and woodsmoke brings back the faces of the boys who never came home.",104th infantry division,organizations,none,0,,United States Army,Wehrmacht,Waffen-SS,,,,,,,
